ID,FINAL
737,HGDP00693
738,HGDP00644
739,HGDP00613
740,HGDP00654
741,HGDP00734
742,HGDP00645
743,HGDP01267
744,HGDP00701
745,HGDP00733
746,HGDP00744
747,HGDP01208
748,HGDP00302
749,HGDP01380
750,HGDP00795
751,HGDP00913
752,HGDP01258
753,HGDP00864
754,HGDP01339
755,HGDP00568
756,HGDP01280
757,HGDP01261
758,HGDP00622
759,HGDP01264
760,HGDP00692
761,HGDP00736
762,HGDP00612
763,HGDP00740
764,HGDP00584
765,HGDP00600
766,HGDP00627
767,HGDP01374
768,HGDP00542
769,HGDP00559
770,HGDP00838
771,HGDP01301
772,HGDP00642
773,HGDP00694
774,HGDP01259
775,HGDP00187
776,HGDP00274
777,HGDP00281
778,HGDP01263
779,HGDP01057
780,HGDP00606
781,HGDP00601
782,HGDP00689
783,HGDP00697
784,HGDP00064
785,HGDP00222
786,HGDP00007
787,HGDP01062
788,HGDP00567
789,HGDP00967
790,HGDP00206
791,HGDP00865
792,HGDP00731
793,HGDP00664
794,HGDP01266
795,HGDP01265
796,HGDP00630
797,HGDP01064
798,HGDP01272
799,HGDP01279
800,HGDP00680
801,HGDP00521
802,HGDP01284
803,HGDP00456
804,HGDP00778
805,HGDP00927
806,HGDP00998
807,HGDP01307
808,HGDP00665
809,HGDP01079
810,HGDP01078
811,HGDP01323
812,HGDP00616
813,HGDP00725
814,HGDP01338
815,HGDP01333
816,HGDP00449
817,HGDP00476
818,HGDP00027
819,HGDP01345
820,HGDP00548
821,HGDP01402
822,HGDP00737
823,HGDP00232
824,HGDP01246
825,HGDP00773
826,HGDP00749
827,HGDP00597
828,HGDP01198
829,HGDP00058
830,HGDP00785
831,HGDP00903
832,HGDP00540
833,HGDP01098
834,HGDP00706
835,HGDP01253
836,HGDP00569
837,HGDP01240
838,HGDP01315
839,HGDP00160
840,HGDP01364
841,HGDP01032
842,HGDP01153
843,HGDP00932
844,HGDP01047
845,HGDP00338
846,HGDP00846
847,HGDP00991
848,HGDP00936
849,HGDP01274
850,HGDP01030
851,HGDP00660
852,HGDP00216
853,HGDP00656
854,HGDP01076
855,HGDP01286
856,HGDP01044
857,HGDP01242
858,HGDP01417
859,HGDP00956
860,HGDP01320
861,HGDP01179
862,HGDP00124
863,HGDP01034
864,HGDP01414
865,HGDP01308
866,HGDP00090
867,HGDP00195
868,HGDP01188
869,HGDP01250
870,HGDP00474
871,HGDP01199
872,HGDP01018
873,HGDP00650
874,HGDP00157
875,HGDP00286
876,HGDP01036
877,HGDP00526
878,HGDP00717
879,HGDP00783
880,HGDP01401
881,HGDP01365
882,HGDP00722
883,HGDP00887
884,HGDP01335
885,HGDP01306
886,HGDP00982
887,HGDP00987
888,HGDP00951
889,HGDP00713
890,HGDP00775
891,HGDP01172
892,HGDP00533
893,HGDP01163
894,HGDP01035
895,HGDP01215
896,HGDP00428
897,HGDP00552
898,HGDP01350
899,HGDP00855
900,HGDP01015
901,HGDP00852
902,HGDP01314
903,HGDP00702
904,HGDP00208
905,HGDP01095
906,HGDP01012
907,HGDP01223
908,HGDP01228
909,HGDP01168
910,HGDP00554
911,HGDP00125
912,HGDP01028
913,HGDP01297
914,HGDP01191
915,HGDP00328
916,HGDP00019
917,HGDP00461
918,HGDP01312
919,HGDP00915
920,HGDP00928
921,HGDP00530
922,HGDP00857
923,HGDP00457
924,HGDP01355
925,HGDP01211
926,HGDP00798
927,HGDP01203
928,HGDP00796
929,HG00096
930,HG00097
931,HG00099
932,HG00100
933,HG00101
934,HG00102
935,HG00103
936,HG00104
937,HG00105
938,HG00106
939,HG00107
940,HG00108
941,HG00109
942,HG00110
943,HG00111
944,HG00112
945,HG00113
946,HG00114
947,HG00115
948,HG00116
949,HG00117
950,HG00118
951,HG00119
952,HG00120
953,HG00121
954,HG00122
955,HG00123
956,HG00125
957,HG00126
958,HG00127
959,HG00128
960,HG00129
961,HG00130
962,HG00131
963,HG00132
964,HG00133
965,HG00134
966,HG00135
967,HG00136
968,HG00137
969,HG00138
970,HG00139
971,HG00140
972,HG00141
973,HG00142
974,HG00143
975,HG00145
976,HG00146
977,HG00148
978,HG00149
979,HG00150
980,HG00151
981,HG00152
982,HG00154
983,HG00155
984,HG00156
985,HG00157
986,HG00158
987,HG00159
988,HG00160
989,HG00171
990,HG00173
991,HG00174
992,HG00176
993,HG00177
994,HG00178
995,HG00179
996,HG00180
997,HG00181
998,HG00182
999,HG00183
1000,HG00185
1001,HG00186
1002,HG00187
1003,HG00188
1004,HG00189
1005,HG00190
1006,HG00231
1007,HG00232
1008,HG00233
1009,HG00234
1010,HG00235
1011,HG00236
1012,HG00237
1013,HG00238
1014,HG00239
1015,HG00240
1016,HG00242
1017,HG00243
